    Energy    <xanes>    
  -20.0000  1.5506550E-03
  -19.6928  1.5733119E-03
  -18.6928  1.6506688E-03
  -17.6928  1.7351294E-03
  -16.6928  1.8277965E-03
  -15.6928  1.9300415E-03
  -14.6928  2.0435996E-03
  -13.6928  2.1707105E-03
  -12.6928  2.3143331E-03
  -11.6928  2.4784844E-03
  -10.6928  2.6687956E-03
  -9.69280  2.8919196E-03
  -9.64280  2.9042336E-03
  -9.59280  2.9166649E-03
  -9.54280  2.9292153E-03
  -9.49280  2.9418868E-03
  -9.44280  2.9546815E-03
  -9.39280  2.9676015E-03
  -9.34280  2.9806489E-03
  -9.29280  2.9938261E-03
  -9.24280  3.0071351E-03
  -9.19280  3.0205784E-03
  -9.14280  3.0341583E-03
  -9.09280  3.0478773E-03
  -9.04280  3.0617379E-03
  -8.99280  3.0757425E-03
  -8.94280  3.0898940E-03
  -8.89280  3.1041949E-03
  -8.84280  3.1186480E-03
  -8.79280  3.1332563E-03
  -8.74280  3.1480225E-03
  -8.69280  3.1629497E-03
  -8.64280  3.1780410E-03
  -8.59280  3.1932995E-03
  -8.54280  3.2087285E-03
  -8.49280  3.2243313E-03
  -8.44280  3.2401113E-03
  -8.39280  3.2560721E-03
  -8.34280  3.2722173E-03
  -8.29280  3.2885506E-03
  -8.24280  3.3050758E-03
  -8.19280  3.3217970E-03
  -8.14280  3.3387180E-03
  -8.09280  3.3558432E-03
  -8.04280  3.3731768E-03
  -7.99280  3.3907232E-03
  -7.94280  3.4084870E-03
  -7.89280  3.4264728E-03
  -7.84280  3.4446855E-03
  -7.79280  3.4631301E-03
  -7.74280  3.4818117E-03
  -7.69280  3.5007356E-03
  -7.64280  3.5199072E-03
  -7.59280  3.5393322E-03
  -7.54280  3.5590164E-03
  -7.49280  3.5789657E-03
  -7.44280  3.5991863E-03
  -7.39280  3.6196846E-03
  -7.34280  3.6404672E-03
  -7.29280  3.6615409E-03
  -7.24280  3.6829127E-03
  -7.19280  3.7045899E-03
  -7.14280  3.7265799E-03
  -7.09280  3.7488906E-03
  -7.04280  3.7715299E-03
  -6.99280  3.7945062E-03
  -6.94280  3.8178281E-03
  -6.89280  3.8415044E-03
  -6.84280  3.8655443E-03
  -6.79280  3.8899575E-03
  -6.74280  3.9147537E-03
  -6.69280  3.9399431E-03
  -6.64280  3.9655365E-03
  -6.59280  3.9915448E-03
  -6.54280  4.0179794E-03
  -6.49280  4.0448522E-03
  -6.44280  4.0721754E-03
  -6.39280  4.0999617E-03
  -6.34280  4.1282246E-03
  -6.29280  4.1569776E-03
  -6.24280  4.1862351E-03
  -6.19280  4.2160120E-03
  -6.14280  4.2463238E-03
  -6.09280  4.2771865E-03
  -6.04280  4.3086169E-03
  -5.99280  4.3406323E-03
  -5.94280  4.3732511E-03
  -5.89280  4.4064920E-03
  -5.84280  4.4403749E-03
  -5.79280  4.4749202E-03
  -5.74280  4.5101494E-03
  -5.69280  4.5460849E-03
  -5.64280  4.5827501E-03
  -5.59280  4.6201693E-03
  -5.54280  4.6583681E-03
  -5.49280  4.6973731E-03
  -5.44280  4.7372122E-03
  -5.39280  4.7779146E-03
  -5.34280  4.8195108E-03
  -5.29280  4.8620327E-03
  -5.24280  4.9055140E-03
  -5.19280  4.9499896E-03
  -5.14280  4.9954964E-03
  -5.09280  5.0420731E-03
  -5.04280  5.0897603E-03
  -4.99280  5.1386005E-03
  -4.94280  5.1886386E-03
  -4.89280  5.2399217E-03
  -4.84280  5.2924994E-03
  -4.79280  5.3464237E-03
  -4.74280  5.4017498E-03
  -4.69280  5.4585355E-03
  -4.64280  5.5168418E-03
  -4.59280  5.5767334E-03
  -4.54280  5.6382783E-03
  -4.49280  5.7015484E-03
  -4.44280  5.7666197E-03
  -4.39280  5.8335729E-03
  -4.34280  5.9024931E-03
  -4.29280  5.9734705E-03
  -4.24280  6.0466010E-03
  -4.19280  6.1219862E-03
  -4.14280  6.1997339E-03
  -4.09280  6.2799589E-03
  -4.04280  6.3627830E-03
  -3.99280  6.4483361E-03
  -3.94280  6.5367565E-03
  -3.89280  6.6281917E-03
  -3.84280  6.7227991E-03
  -3.79280  6.8207469E-03
  -3.74280  6.9222148E-03
  -3.69280  7.0273952E-03
  -3.64280  7.1364944E-03
  -3.59280  7.2497332E-03
  -3.54280  7.3673490E-03
  -3.49280  7.4895969E-03
  -3.44280  7.6167510E-03
  -3.39280  7.7491070E-03
  -3.34280  7.8869833E-03
  -3.29280  8.0307239E-03
  -3.24280  8.1807007E-03
  -3.19280  8.3373158E-03
  -3.14280  8.5010055E-03
  -3.09280  8.6722427E-03
  -3.04280  8.8515418E-03
  -2.99280  9.0394623E-03
  -2.94280  9.2366139E-03
  -2.89280  9.4436623E-03
  -2.84280  9.6613352E-03
  -2.79280  9.8904295E-03
  -2.74280  1.0131819E-02
  -2.69280  1.0386465E-02
  -2.64280  1.0655424E-02
  -2.59280  1.0939861E-02
  -2.54280  1.1241067E-02
  -2.49280  1.1560466E-02
  -2.44280  1.1899641E-02
  -2.39280  1.2260352E-02
  -2.34280  1.2644558E-02
  -2.29280  1.3054450E-02
  -2.24280  1.3492476E-02
  -2.19280  1.3961386E-02
  -2.14280  1.4464269E-02
  -2.09280  1.5004611E-02
  -2.04280  1.5586348E-02
  -1.99280  1.6213939E-02
  -1.94280  1.6892448E-02
  -1.89280  1.7627636E-02
  -1.84280  1.8426072E-02
  -1.79280  1.9295261E-02
  -1.74280  2.0243787E-02
  -1.69280  2.1281479E-02
  -1.64280  2.2419592E-02
  -1.59280  2.3670996E-02
  -1.54280  2.5050376E-02
  -1.49280  2.6574400E-02
  -1.44280  2.8261842E-02
  -1.39280  3.0133597E-02
  -1.34280  3.2212508E-02
  -1.29280  3.4522909E-02
  -1.24280  3.7089791E-02
  -1.19280  3.9937503E-02
  -1.14280  4.3088097E-02
  -1.09280  4.6559613E-02
  -1.04280  5.0365012E-02
  -0.99280  5.4512701E-02
  -0.94280  5.9009415E-02
  -0.89280  6.3865272E-02
  -0.84280  6.9099350E-02
  -0.79280  7.4743331E-02
  -0.74280  8.0839083E-02
  -0.69280  8.7428476E-02
  -0.64280  9.4535095E-02
  -0.59280  1.0213926E-01
  -0.54280  1.1014955E-01
  -0.49280  1.1837614E-01
  -0.44280  1.2651441E-01
  -0.39280  1.3414790E-01
  -0.34280  1.4078156E-01
  -0.29280  1.4591505E-01
  -0.24280  1.4913431E-01
  -0.19280  1.5020047E-01
  -0.14280  1.4910013E-01
  -0.09280  1.4603446E-01
  -0.04280  1.4135467E-01
   0.00720  1.3547519E-01
   0.05720  1.2879908E-01
   0.10720  1.2167282E-01
   0.15720  1.1437009E-01
   0.20720  1.0709527E-01
   0.25720  9.9996748E-02
   0.30720  9.3182105E-02
   0.35720  8.6729945E-02
   0.40720  8.0696838E-02
   0.45720  7.5120490E-02
   0.50720  7.0021319E-02
   0.55720  6.5404077E-02
   0.60720  6.1260154E-02
   0.65720  5.7570459E-02
   0.70720  5.4308508E-02
   0.75720  5.1443262E-02
   0.80720  4.8941405E-02
   0.85720  4.6768914E-02
   0.90720  4.4891927E-02
   0.95720  4.3277071E-02
   1.00720  4.1891478E-02
   1.05720  4.0702836E-02
   1.10720  3.9679783E-02
   1.15720  3.8792905E-02
   1.20720  3.8016364E-02
   1.25720  3.7329842E-02
   1.30720  3.6720185E-02
   1.35720  3.6182063E-02
   1.40720  3.5717281E-02
   1.45720  3.5332915E-02
   1.50720  3.5038913E-02
   1.55720  3.4845835E-02
   1.60720  3.4763206E-02
   1.65720  3.4798539E-02
   1.70720  3.4956872E-02
   1.75720  3.5240547E-02
   1.80720  3.5649046E-02
   1.85720  3.6178722E-02
   1.90720  3.6822411E-02
   1.95720  3.7568971E-02
   2.00720  3.8402929E-02
   2.05720  3.9304558E-02
   2.10720  4.0250802E-02
   2.15720  4.1217402E-02
   2.20720  4.2182173E-02
   2.25720  4.3128747E-02
   2.30720  4.4049547E-02
   2.35720  4.4946747E-02
   2.40720  4.5830777E-02
   2.45720  4.6716994E-02
   2.50720  4.7621859E-02
   2.55720  4.8559830E-02
   2.60720  4.9541491E-02
   2.65720  5.0572737E-02
   2.70720  5.1654504E-02
   2.75720  5.2782682E-02
   2.80720  5.3948125E-02
   2.85720  5.5136966E-02
   2.90720  5.6331464E-02
   2.95720  5.7511495E-02
   3.00720  5.8656624E-02
   3.05720  5.9748479E-02
   3.10720  6.0773068E-02
   3.15720  6.1722586E-02
   3.20720  6.2596337E-02
   3.25720  6.3400532E-02
   3.30720  6.4146996E-02
   3.35720  6.4851046E-02
   3.40720  6.5528983E-02
   3.45720  6.6195597E-02
   3.50720  6.6862017E-02
   3.55720  6.7534075E-02
   3.60720  6.8211329E-02
   3.65720  6.8886764E-02
   3.70720  6.9547148E-02
   3.75720  7.0173945E-02
   3.80720  7.0744665E-02
   3.85720  7.1234616E-02
   3.90720  7.1619072E-02
   3.95720  7.1875826E-02
   4.00720  7.1987898E-02
   4.05720  7.1945885E-02
   4.10720  7.1749350E-02
   4.15720  7.1406791E-02
   4.20720  7.0934118E-02
   4.25720  7.0352029E-02
   4.30720  6.9682949E-02
   4.35720  6.8948238E-02
   4.40720  6.8166190E-02
   4.45720  6.7351010E-02
   4.50720  6.6512760E-02
   4.55720  6.5658030E-02
   4.60720  6.4791065E-02
   4.65720  6.3915048E-02
   4.70720  6.3033265E-02
   4.75720  6.2149978E-02
   4.80720  6.1270856E-02
   4.85720  6.0402985E-02
   4.90720  5.9554488E-02
   4.95720  5.8733901E-02
   5.00720  5.7949437E-02
   5.05720  5.7208267E-02
   5.10720  5.6515915E-02
   5.15720  5.5875797E-02
   5.20720  5.5288936E-02
   5.25720  5.4753841E-02
   5.30720  5.4266530E-02
   5.35720  5.3820716E-02
   5.40720  5.3408129E-02
   5.45720  5.3018998E-02
   5.50720  5.2642667E-02
   5.55720  5.2268322E-02
   5.60720  5.1885770E-02
   5.65720  5.1486193E-02
   5.70720  5.1062780E-02
   5.75720  5.0611157E-02
   5.80720  5.0129570E-02
   5.85720  4.9618796E-02
   5.90720  4.9081838E-02
   5.95720  4.8523446E-02
   6.00720  4.7949576E-02
   6.05720  4.7366826E-02
   6.10720  4.6781937E-02
   6.15720  4.6201366E-02
   6.20720  4.5630948E-02
   6.25720  4.5075661E-02
   6.30720  4.4539455E-02
   6.35720  4.4025171E-02
   6.40720  4.3534520E-02
   6.45720  4.3068142E-02
   6.50720  4.2625719E-02
   6.55720  4.2206156E-02
   6.60720  4.1807812E-02
   6.65720  4.1428755E-02
   6.70720  4.1067034E-02
   6.75720  4.0720923E-02
   6.80720  4.0389130E-02
   6.85720  4.0070935E-02
   6.90720  3.9766259E-02
   6.95720  3.9475653E-02
   7.00720  3.9200231E-02
   7.05720  3.8941552E-02
   7.10720  3.8701477E-02
   7.15720  3.8482019E-02
   7.20720  3.8285212E-02
   7.25720  3.8112989E-02
   7.30720  3.7967105E-02
   7.35720  3.7849077E-02
   7.40720  3.7760161E-02
   7.45720  3.7701348E-02
   7.50720  3.7673377E-02
   7.55720  3.7676763E-02
   7.60720  3.7711831E-02
   7.65720  3.7778749E-02
